objectid,park_name,court_number,comments,data_source,lat,lng
215,Parkside Evans Recreation Center,9,,"NATUREPHL, Pictometry 2020",39.98360727256565,-75.22624929489238
216,Penrose Memorial Playground,2,,"NATUREPHL, Pictometry 2020",39.98589908905197,-75.15135309700409
217,Pepper School Playground,2,,"NATUREPHL, Pictometry 2020",39.89639515145188,-75.24892981911177
218,Pepper School Playground,3,,"NATUREPHL, Pictometry 2020",39.89650468392456,-75.2488366562302
219,Pepper School Playground,4,,"NATUREPHL, Pictometry 2020",39.896612706614555,-75.24873983463702
220,Elizabeth M Picariello Playground,2,,Pictometry 2020,40.0799981023338,-74.98873953628537
221,Boniface Piccoli Playground,1,,Pictometry 2020,40.01290418860446,-75.09608542538317
222,Boniface Piccoli Playground,3,,Pictometry 2020,40.01285648252004,-75.09575430631382
223,Pleasant Playground,2,,Pictometry 2020,40.0569843573487,-75.18287095886356
224,Pleasant Playground,3,,Pictometry 2020,40.057087786572374,-75.18276280661064
225,Pleasant Playground,4,,Pictometry 2020,40.05719987365287,-75.18265804919152
226,Reyburn Park,2,,Pictometry 2020,39.994856288065094,-75.1653949227573
227,Samuel Rose Recreation Center,2,,Pictometry 2020,39.973516332494405,-75.26047362101657
228,Rufus O Williams Memorial Playground,1,,Pictometry 2020,39.95032443911114,-75.25001136305328
229,Rufus O Williams Memorial Playground,2,,Pictometry 2020,39.950297768045786,-75.2498376513113
230,Charles A Russo Playground,3,,Pictometry 2020,40.02894817881481,-75.0339179841041
231,Charles A Russo Playground,1,,Pictometry 2020,40.02908895412145,-75.03364068395656
232,Charles Seger Park,2,,"NATUREPHL, Pictometry 2020",39.94348363496898,-75.15889747740522
233,William B Simons Recreation Center,2,,"NATUREPHL, Pictometry 2020",40.06169067111877,-75.15815140992908
234,William B Simons Recreation Center,3,,"NATUREPHL, Pictometry 2020",40.0616555940225,-75.15799141570083
235,William B Simons Recreation Center,4,,"NATUREPHL, Pictometry 2020",40.06160919559125,-75.15783681913038
236,William B Simons Recreation Center,5,,"NATUREPHL, Pictometry 2020",40.0615722961791,-75.15768061795858
237,William B Simons Recreation Center,6,Tennis Practice Wall,"NATUREPHL, Pictometry 2020",40.06138479112224,-75.15790744555798
238,William B Simons Recreation Center,7,Tennis Practice Wall,"NATUREPHL, Pictometry 2020",40.06134878919965,-75.15774872813626
239,Helen G Sturgis Playground,2,,Pictometry 2020,40.049512670102175,-75.12418863208066
240,Helen G Sturgis Playground,3,,Pictometry 2020,40.04948398878327,-75.12401850780874
241,Seymour Tarken Recreation Center,1,,NATUREPHL and Pictometry 2020,40.04000679237465,-75.0827507178244
242,Torresdale Recreation Center,2,,NATUREPHL and Pictometry 2020,40.059252132956644,-74.99796615925739
243,Torresdale Recreation Center,3,,NATUREPHL and Pictometry 2020,40.05932213512999,-74.99782307992878
244,Joseph F Vogt Playground,2,,NATUREPHL and Pictometry 2020,40.02827769753159,-75.04782419951827
245,Water Tower Recreation Center,2,,"NATUREPHL, Pictometry 2020",40.07483710616984,-75.20029621267199
246,Water Tower Recreation Center,3,,"NATUREPHL, Pictometry 2020",40.07476060612125,-75.20015758597215
247,Water Tower Recreation Center,6,,"NATUREPHL, Pictometry 2020",40.07456889012836,-75.20054213335747
248,Water Tower Recreation Center,0,,"NATUREPHL, Pictometry 2020",40.074808443395725,-75.2007664843387
249,Water Tower Recreation Center,0,,"NATUREPHL, Pictometry 2020",40.07475649596162,-75.20068259822165
250,Water Tower Recreation Center,0,,"NATUREPHL, Pictometry 2020",40.07470163814524,-75.20059424053791
251,Water Tower Recreation Center,0,,"NATUREPHL, Pictometry 2020",40.07467685455502,-75.20089555587992
252,Water Tower Recreation Center,0,,"NATUREPHL, Pictometry 2020",40.0746278935232,-75.2008085598255
253,Water Tower Recreation Center,0,,"NATUREPHL, Pictometry 2020",40.074572934393714,-75.20072444463278
254,West Mill Creek,1,,Pictometry 2020,39.96897627733121,-75.22500889386758
255,Wharton Square,2,,"NATUREPHL, Pictometry 2020",39.935345704712276,-75.18358983536432
256,Wissinoming Park,2,,NATUREPHL and Pictometry 2020,40.02512331733924,-75.06982330834335
257,Wisters Woods Park,0,,Pictometry 2020,40.03462635030975,-75.15814882365387
258,Wisters Woods Park,0,,Pictometry 2020,40.034106816002144,-75.15873993575748
259,Wisters Woods Park,0,,Pictometry 2020,40.03420244653555,-75.15863580169561
260,Wisters Woods Park,0,,Pictometry 2020,40.034282763240704,-75.15851860592058
261,William H (Billy) Markward Memorial Playground,0,Quickstart tennis court,Pictometry 2020,39.94847330659249,-75.1830606020145
262,Venice Island Performing Arts and Recreation Center,0,,Pictometry 2020,40.02298267947412,-75.22158961173444
263,Venice Island Performing Arts and Recreation Center,0,,Pictometry 2020,40.02306978798228,-75.22153985637023
264,East Poplar Field,0,,Pictometry 2020,39.96919463949284,-75.14939827341712
170,J Francis Finnegan Playground,5,,"NATUREPHL, Pictometry 2020",39.91432866669386,-75.23176936862802
171,J Francis Finnegan Playground,1,,"NATUREPHL, Pictometry 2020",39.91398564690889,-75.23225882178298
172,Thomas E Jardel Memorial Field,1,,Pictometry 2020,40.05654729917122,-75.07703512184843
173,Thomas E Jardel Memorial Field,3,,Pictometry 2020,40.05675264470404,-75.07684398783196
174,Thomas E Jardel Memorial Field,4,,Pictometry 2020,40.05685535341335,-75.07674997028455
175,Jim Junod Recreation Center,2,,Pictometry 2020,40.10353895019107,-74.96962764970684
176,Jim Junod Recreation Center,3,,Pictometry 2020,40.10319135340126,-74.96972635326262
177,Jim Junod Recreation Center,4,,Pictometry 2020,40.10320745931785,-74.96956424896797
178,Kingsessing Recreation Center,2,,"NATUREPHL, Pictometry 2020",39.942371510975406,-75.21847928310117
179,William A Lackman Memorial Playground,2,,NATUREPHL and Pictometry 2020,40.10008615050036,-75.0332769345099
180,Lawncrest Recreation Center,1,,NATUREPHL and Pictometry 2020,40.04638359978855,-75.10096042612138
181,John A Lee Cultural Center,0,,"NATUREPHL, Pictometry 2020",39.96091512132079,-75.21057315400077
182,Joseph E Mander Playground,9,,"NATUREPHL, Pictometry 2020",39.99086856682535,-75.18819688552145
183,Joseph E Mander Playground,5,,"NATUREPHL, Pictometry 2020",39.99119475284012,-75.18798622290197
184,Joseph E Mander Playground,4,,"NATUREPHL, Pictometry 2020",39.99107765618133,-75.1878666684591
185,Joseph E Mander Playground,3,,"NATUREPHL, Pictometry 2020",39.99096142888238,-75.18774336127734
186,Joseph E Mander Playground,8,,"NATUREPHL, Pictometry 2020",39.990755198200205,-75.18807347149168
187,Joseph E Mander Playground,2,,"NATUREPHL, Pictometry 2020",39.99084620922866,-75.18762249632594
188,Joseph E Mander Playground,7,,"NATUREPHL, Pictometry 2020",39.99063908170907,-75.18795511885202
189,Joseph E Mander Playground,1,,"NATUREPHL, Pictometry 2020",39.99072998169267,-75.18749919115257
190,Joseph E Mander Playground,6,,"NATUREPHL, Pictometry 2020",39.990522011756894,-75.18783680375762
191,William H (Billy) Markward Memorial Playground,2,,"NATUREPHL, Pictometry 2020",39.947921841832404,-75.18283222686603
192,Max Myers Playground,3,,NATUREPHL and Pictometry 2020,40.038998857217095,-75.0714188688096
193,Max Myers Playground,2,,NATUREPHL and Pictometry 2020,40.03891678810097,-75.07127323050551
194,Max Myers Playground,1,,NATUREPHL and Pictometry 2020,40.03883345554061,-75.0711245406104
195,Max Myers Playground,0,Quickstart tennis court,Pictometry 2020,40.03821118836214,-75.0710437765756
196,Max Myers Playground,0,Quickstart tennis court,Pictometry 2020,40.038269396730286,-75.07098409904286
197,Max Myers Playground,0,Quickstart tennis court,Pictometry 2020,40.038326522510346,-75.07092911683323
198,Frank McArdle Memorial Recreation Center,3,,NATUREPHL and Pictometry 2020,40.060840483787075,-75.02746827945934
199,Frank McArdle Memorial Recreation Center,1,,NATUREPHL and Pictometry 2020,40.06069353200103,-75.02720269344913
200,Harry S McDevitt Playground,2,,Pictometry 2020,40.008973103342385,-75.1870106763221
201,Thomas Mitchell Playground,1,,NATUREPHL and Pictometry 2020,40.068465014505236,-74.99201945359499
202,Reverend M Monkiewicz Recreation Center,1,,Pictometry 2020,39.98279983914781,-75.10068196460118
